Date,GSCI
2012/12/31,646.58
2013/1/2,652.56
2013/1/3,650.05
2013/1/4,646.71
2013/1/7,648.69
2013/1/8,650.18
2013/1/9,649.31
2013/1/10,653.11
2013/1/11,649.58
2013/1/14,655.19
2013/1/15,652.18
2013/1/16,653.31
2013/1/17,658.21
2013/1/18,660.83
2013/1/22,664.07
2013/1/23,661.98
2013/1/24,664.22
2013/1/25,662.75
2013/1/28,665.33
2013/1/29,670.51
2013/1/30,675.94
2013/1/31,675.37
2013/2/1,679.05
2013/2/4,673.87
2013/2/5,676.7
2013/2/6,676.14
2013/2/7,674.01
2013/2/8,678.14
2013/2/11,677.66
2013/2/12,678.9
2013/2/13,679.2
2013/2/14,679.37
2013/2/15,675.95
2013/2/19,675.63
2013/2/20,668.28
2013/2/21,657.31
2013/2/22,658.12
2013/2/25,658.64
2013/2/26,653.56
2013/2/27,650.13
2013/2/28,648.21
2013/3/1,642.65
2013/3/4,640.41
2013/3/5,645.94
2013/3/6,641.74
2013/3/7,646.65
2013/3/8,648.81
2013/3/11,648.72
2013/3/12,649.62
2013/3/13,647.17
2013/3/14,650.23
2013/3/15,652.5
2013/3/18,650.3
2013/3/19,643.16
2013/3/20,648.7
2013/3/21,644.55
2013/3/22,646.5
2013/3/25,649.03
2013/3/26,654.54
2013/3/27,657.78
2013/3/28,655.05
2013/4/1,653.1
2013/4/2,651.87
2013/4/3,638.67
2013/4/4,633
2013/4/5,628.26
2013/4/8,632.31
2013/4/9,637.09
2013/4/10,636.03
2013/4/11,631.61
2013/4/12,623.16
2013/4/15,608.83
2013/4/16,609.91
2013/4/17,600.97
2013/4/18,606.01
2013/4/19,607.5
2013/4/22,609.1
2013/4/23,607.11
2013/4/24,614.65
2013/4/25,625.15
2013/4/26,622.29
2013/4/29,629.99
2013/4/30,624.43
2013/5/1,611.06
2013/5/2,622.62
2013/5/3,631.08
2013/5/6,632.74
2013/5/7,630.47
2013/5/8,632.85
2013/5/9,634.91
2013/5/10,629.36
2013/5/13,627.87
2013/5/14,625.54
2013/5/15,624.91
2013/5/16,627.99
2013/5/17,632.05
2013/5/20,635.02
2013/5/21,631.02
2013/5/22,625.96
